code,lang,lto,nodes,ranks,scaling,style,rep,metric
pic,c,1,2,40,strong,GEOMETRIC,9,126.713622
pic,rust,0,2,40,strong,GEOMETRIC,9,110.222176
pic,rust,1,2,40,strong,GEOMETRIC,9,120.878661
pic,c,0,2,40,strong,LINEAR,0,341.713763
pic,c,1,2,40,strong,LINEAR,0,382.584619
pic,rust,0,2,40,strong,LINEAR,0,276.423452
pic,rust,1,2,40,strong,LINEAR,0,286.986397
pic,c,0,2,40,strong,LINEAR,1,358.706331
pic,c,1,2,40,strong,LINEAR,1,383.013142
pic,rust,0,2,40,strong,LINEAR,1,271.08614
pic,rust,1,2,40,strong,LINEAR,1,280.289695
pic,c,0,2,40,strong,LINEAR,2,334.93873
pic,c,1,2,40,strong,LINEAR,2,365.791569
pic,rust,0,2,40,strong,LINEAR,2,318.267368
pic,rust,1,2,40,strong,LINEAR,2,301.991883
pic,c,0,2,40,strong,LINEAR,3,340.772318
pic,c,1,2,40,strong,LINEAR,3,340.360154
pic,rust,0,2,40,strong,LINEAR,3,273.572838
pic,rust,1,2,40,strong,LINEAR,3,316.843437
pic,c,0,2,40,strong,LINEAR,4,333.678122
pic,c,1,2,40,strong,LINEAR,4,381.35698
pic,rust,0,2,40,strong,LINEAR,4,301.074772
pic,rust,1,2,40,strong,LINEAR,4,309.976095
pic,c,0,2,40,strong,LINEAR,5,334.835248
pic,c,1,2,40,strong,LINEAR,5,343.654982
pic,rust,0,2,40,strong,LINEAR,5,258.88978
pic,rust,1,2,40,strong,LINEAR,5,284.788378
pic,c,0,2,40,strong,LINEAR,6,383.983561
pic,c,1,2,40,strong,LINEAR,6,341.760861
pic,rust,0,2,40,strong,LINEAR,6,279.725251
pic,rust,1,2,40,strong,LINEAR,6,267.84359
pic,c,0,2,40,strong,LINEAR,7,336.757066
pic,c,1,2,40,strong,LINEAR,7,350.441864
pic,rust,0,2,40,strong,LINEAR,7,272.028976
pic,rust,1,2,40,strong,LINEAR,7,244.433315
pic,c,0,2,40,strong,LINEAR,8,384.264578
pic,c,1,2,40,strong,LINEAR,8,348.848437
pic,rust,0,2,40,strong,LINEAR,8,282.243414
pic,rust,1,2,40,strong,LINEAR,8,284.790823
pic,c,0,2,40,strong,LINEAR,9,331.826522
pic,c,1,2,40,strong,LINEAR,9,376.030943
pic,rust,0,2,40,strong,LINEAR,9,122.593688
pic,rust,1,2,40,strong,LINEAR,9,206.31088
pic,c,0,2,40,strong,PATCH,0,20.804887
pic,c,1,2,40,strong,PATCH,0,21.673678
pic,rust,0,2,40,strong,PATCH,0,22.7455
pic,rust,1,2,40,strong,PATCH,0,22.822954
pic,c,0,2,40,strong,PATCH,1,20.751197
pic,c,1,2,40,strong,PATCH,1,21.611793
pic,rust,0,2,40,strong,PATCH,1,22.770812
pic,rust,1,2,40,strong,PATCH,1,22.379453
pic,c,0,2,40,strong,PATCH,2,20.780164
pic,c,1,2,40,strong,PATCH,2,21.688517
pic,rust,0,2,40,strong,PATCH,2,22.60266
pic,rust,1,2,40,strong,PATCH,2,22.853993
